"","method","variate","design","number","RMSE","time_mod","time_alg","time_overall"
"221","exhaustive_test","AGB","simpleRandom",21,31.607241447571,NA,NA,NA
"222","exhaustive_test","AGB","simpleRandom",22,32.1857681436636,NA,NA,NA
"223","exhaustive_test","AGB","simpleRandom",23,31.0527843995496,NA,NA,NA
"224","exhaustive_test","AGB","simpleRandom",24,30.5551118896,NA,NA,NA
"225","exhaustive_test","AGB","simpleRandom",25,32.6412082336306,NA,NA,NA
"226","exhaustive_test","AGB","simpleRandom",26,31.229395075875,NA,NA,NA
"227","exhaustive_test","AGB","simpleRandom",27,31.0386216977695,NA,NA,NA
"228","exhaustive_test","AGB","simpleRandom",28,31.5037681260651,NA,NA,NA
"229","exhaustive_test","AGB","simpleRandom",29,31.6234443985054,NA,NA,NA
"230","exhaustive_test","AGB","simpleRandom",30,32.4554109591031,NA,NA,NA
"231","exhaustive_test","AGB","simpleRandom",31,31.112581750666,NA,NA,NA
"232","exhaustive_test","AGB","simpleRandom",32,31.7485126699057,NA,NA,NA
"233","exhaustive_test","AGB","simpleRandom",33,32.002074816096,NA,NA,NA
"234","exhaustive_test","AGB","simpleRandom",34,31.002858740874,NA,NA,NA
"235","exhaustive_test","AGB","simpleRandom",35,31.6065140857814,NA,NA,NA
"236","exhaustive_test","AGB","simpleRandom",36,32.2134838772845,NA,NA,NA
"237","exhaustive_test","AGB","simpleRandom",37,31.1838442455956,NA,NA,NA
"238","exhaustive_test","AGB","simpleRandom",38,31.261336167933,NA,NA,NA
"239","exhaustive_test","AGB","simpleRandom",39,32.7343357633045,NA,NA,NA
"240","exhaustive_test","AGB","simpleRandom",40,31.6444350995674,NA,NA,NA
"241","exhaustive_test","AGB","simpleRandom",41,32.2277743974817,NA,NA,NA
"242","exhaustive_test","AGB","simpleRandom",42,31.6974065363149,NA,NA,NA
"243","exhaustive_test","AGB","simpleRandom",43,31.7894723569766,NA,NA,NA
"244","exhaustive_test","AGB","simpleRandom",44,31.2748130192164,NA,NA,NA
"245","exhaustive_test","AGB","simpleRandom",45,31.0774026247611,NA,NA,NA
"246","exhaustive_test","AGB","simpleRandom",46,30.7764595423179,NA,NA,NA
"247","exhaustive_test","AGB","simpleRandom",47,33.0156118985372,NA,NA,NA
"248","exhaustive_test","AGB","simpleRandom",48,32.842215456607,NA,NA,NA
"249","exhaustive_test","AGB","simpleRandom",49,32.1103360290841,NA,NA,NA
"250","exhaustive_test","AGB","simpleRandom",50,29.8858708079897,NA,NA,NA
"251","exhaustive_test","OCS","clusterGapped",1,8.05134507913443,NA,NA,NA
"252","exhaustive_test","OCS","clusterGapped",2,7.96641175810237,NA,NA,NA
"253","exhaustive_test","OCS","clusterGapped",3,7.72456515819941,NA,NA,NA
"254","exhaustive_test","OCS","clusterGapped",4,8.08797453374231,NA,NA,NA
"255","exhaustive_test","OCS","clusterGapped",5,8.22533589570563,NA,NA,NA
"256","exhaustive_test","OCS","clusterGapped",6,8.33795177565327,NA,NA,NA
"257","exhaustive_test","OCS","clusterGapped",7,8.06449575208685,NA,NA,NA
"258","exhaustive_test","OCS","clusterGapped",8,8.10813875238116,NA,NA,NA
"259","exhaustive_test","OCS","clusterGapped",9,9.87161436330722,NA,NA,NA
"260","exhaustive_test","OCS","clusterGapped",10,7.78060721597874,NA,NA,NA
"261","exhaustive_test","OCS","clusterGapped",11,7.94844306539449,NA,NA,NA
"262","exhaustive_test","OCS","clusterGapped",12,8.45003644909377,NA,NA,NA
"263","exhaustive_test","OCS","clusterGapped",13,7.89746055003217,NA,NA,NA
"264","exhaustive_test","OCS","clusterGapped",14,7.85309595796052,NA,NA,NA
"265","exhaustive_test","OCS","clusterGapped",15,8.8797396532811,NA,NA,NA
"266","exhaustive_test","OCS","clusterGapped",16,8.1800864961155,NA,NA,NA
"267","exhaustive_test","OCS","clusterGapped",17,8.00053134466113,NA,NA,NA
"268","exhaustive_test","OCS","clusterGapped",18,8.46114443386326,NA,NA,NA
"269","exhaustive_test","OCS","clusterGapped",19,8.39675184357931,NA,NA,NA
"270","exhaustive_test","OCS","clusterGapped",20,7.97876389265732,NA,NA,NA
"271","exhaustive_test","OCS","clusterGapped",21,8.0362728313844,NA,NA,NA
