"","method","variate","design","number","RMSE","MEC"
"288","exhaustive_old","AGB","clusterStrong",88,30.450499116853,0.828266192749999
"289","exhaustive_old","AGB","clusterStrong",89,29.9541568968264,0.833819076752136
"290","exhaustive_old","AGB","clusterStrong",90,30.7694039596547,0.824650256884148
"291","exhaustive_old","AGB","clusterStrong",91,30.0500162331452,0.832753749982319
"292","exhaustive_old","AGB","clusterStrong",92,32.9949659102878,0.798366664280217
"293","exhaustive_old","AGB","clusterStrong",93,32.2621755741877,0.807223421628717
"294","exhaustive_old","AGB","clusterStrong",94,31.7456528976384,0.813346776840952
"295","exhaustive_old","AGB","clusterStrong",95,31.2270388475196,0.819395497141985
"296","exhaustive_old","AGB","clusterStrong",96,32.2025397768524,0.807935447979648
"297","exhaustive_old","AGB","clusterStrong",97,30.7037318603778,0.825397966961089
"298","exhaustive_old","AGB","clusterStrong",98,32.6808657373319,0.802187344794061
"299","exhaustive_old","AGB","clusterStrong",99,32.2718955966496,0.807107243788331
"300","exhaustive_old","AGB","clusterStrong",100,30.918509370941,0.822946685046816
"301","exhaustive_old","AGB","regular",1,28.8046591507482,0.846328812256919
"302","exhaustive_old","AGB","regular",2,29.6101694057982,0.83761393755962
"303","exhaustive_old","AGB","regular",3,29.5008825987297,0.83881041191141
"304","exhaustive_old","AGB","regular",4,29.1918465187988,0.842169802159217
"305","exhaustive_old","AGB","regular",5,29.6807119450605,0.836839286781205
"306","exhaustive_old","AGB","regular",6,30.438244138855,0.828404395445351
"307","exhaustive_old","AGB","regular",7,29.7013581177139,0.836612215685918
"308","exhaustive_old","AGB","regular",8,30.1910503612455,0.831180188060881
"309","exhaustive_old","AGB","regular",9,29.661799411975,0.837047152364977
"310","exhaustive_old","AGB","regular",10,29.4605524226996,0.83925082998149
"311","exhaustive_old","AGB","regular",11,29.6728340847394,0.836925887583175
"312","exhaustive_old","AGB","regular",12,29.660469669017,0.837061762439139
"313","exhaustive_old","AGB","regular",13,30.4327437763406,0.828466406430492
"314","exhaustive_old","AGB","regular",14,29.3525249377817,0.840427555403769
"315","exhaustive_old","AGB","regular",15,29.4586099344194,0.83927202734942
"316","exhaustive_old","AGB","regular",16,29.7988271342377,0.8355380979968
"317","exhaustive_old","AGB","regular",17,29.6969699239983,0.836660491207933
"318","exhaustive_old","AGB","regular",18,29.2625891814845,0.841403913142595
"319","exhaustive_old","AGB","regular",19,29.4796170700561,0.83904271318906
"320","exhaustive_old","AGB","regular",20,29.886044941101,0.834573966221733
"321","exhaustive_old","AGB","regular",21,30.1434623695216,0.831711965800886
"322","exhaustive_old","AGB","regular",22,29.3920320422265,0.839997712461407
"323","exhaustive_old","AGB","regular",23,29.1785867802179,0.842313151218105
"324","exhaustive_old","AGB","regular",24,29.6017350047797,0.837706435112303
"325","exhaustive_old","AGB","regular",25,30.4443230869894,0.828335848459631
"326","exhaustive_old","AGB","regular",26,29.298920545178,0.841009854433144
"327","exhaustive_old","AGB","regular",27,29.0877869015189,0.843293025197414
"328","exhaustive_old","AGB","regular",28,30.1326065015339,0.831833158495247
"329","exhaustive_old","AGB","regular",29,28.4624771220668,0.849958168758422
"330","exhaustive_old","AGB","regular",30,29.8096493969039,0.835418618589457
"331","exhaustive_old","AGB","regular",31,30.5340860137359,0.827322076998838
"332","exhaustive_old","AGB","regular",32,29.2521481284803,0.84151706886644
"333","exhaustive_old","AGB","regular",33,29.622636539894,0.837477165967015
"334","exhaustive_old","AGB","regular",34,30.9508916099968,0.822575620251513
"335","exhaustive_old","AGB","regular",35,29.0861500356998,0.843310661539035
"336","exhaustive_old","AGB","regular",36,30.7272317809169,0.825130592028128
"337","exhaustive_old","AGB","regular",37,29.1435182727945,0.842691957733104
"338","exhaustive_old","AGB","regular",38,29.5263366689957,0.838532135412978
"339","exhaustive_old","AGB","regular",39,30.5927865481805,0.826657506285252
"340","exhaustive_old","AGB","regular",40,29.0972367719363,0.843191188563568
"341","exhaustive_old","AGB","regular",41,29.6838927614113,0.836804313760708
"342","exhaustive_old","AGB","regular",42,28.9607236495779,0.844659111113143
"343","exhaustive_old","AGB","regular",43,28.9868984255607,0.844378189237485
"344","exhaustive_old","AGB","regular",44,28.8716782116359,0.845612894757208
"345","exhaustive_old","AGB","regular",45,29.3421614772998,0.840540215611921
"346","exhaustive_old","AGB","regular",46,29.5137395503651,0.838669883347556
"347","exhaustive_old","AGB","regular",47,29.1092641742861,0.843061527285182
"348","exhaustive_old","AGB","regular",48,30.4239225940496,0.828565832878041
"349","exhaustive_old","AGB","regular",49,28.717250592091,0.847260036389493
"350","exhaustive_old","AGB","regular",50,29.3660280924258,0.84028070418565
"351","exhaustive_old","AGB","regular",51,29.6919045199906,0.836716208006079
"352","exhaustive_old","AGB","regular",52,28.7275887288206,0.847150044602556
"353","exhaustive_old","AGB","regular",53,29.7205152839112,0.836401379780342
